User,On_Off,#Ads,#Unique Ads,#Exclusive ads,Exclusive ads ratio,%relevence
stalerozero1,ON,71,15,8,11.27%,0.056338028
MariaPh,ON,68,26,25,36.76%,0.426470588
Nick_Wilde,ON,49,14,10,20.41%,0.102040816
Elrusso,ON,65,15,6,9.23%,0.107692308
Raphael Sccoffield,ON,91,26,46,50.55%,0.208791209
ZanderNavarez,ON,60,22,24,40.00%,0
Member_1211479701,ON,55,20,32,58.18%,0.309090909
Member_5863536299,ON,68,20,20,29.41%,0.382352941
Member_8386711018,ON,90,33,70,77.78%,0.133333333
tanoseiya,ON,47,18,38,80.85%,0.255319149
paulasantosmk,ON,55,23,23,41.82%,0.163636364
Member_1653515280,ON,77,15,16,20.78%,0.064935065
Josef29,ON,58,18,11,18.97%,0.172413793
Suhas Patil,ON,47,15,20,42.55%,0.14893617
Lunaku,ON,43,17,4,9.30%,0
19cfcb2a,ON,59,26,25,42.37%,0.288135593
HieloX4,ON,63,25,30,47.62%,0.380952381
Keilan Jansen,ON,19,8,2,10.53%,0.157894737
Member_9265633854,ON,57,23,30,53.63%,0.052631579
defrix,ON,56,23,31,55.36%,0.035714286
stalerozero1,OFF,68,31,22,32.35%,0.102941176
MariaPh,OFF,60,19,7,11.67%,0.516666667
Nick_Wilde,OFF,56,14,10,17.86%,0.142857143
Elrusso,OFF,67,16,8,11.94%,0.089552239
Raphael Sccoffield,OFF,54,16,21,38.89%,0.148148148
ZanderNavarez,OFF,62,17,37,59.68%,0.274193548
Member_1211479701,OFF,64,27,39,60.94%,0.46875
Member_5863536299,OFF,58,19,1,1.72%,0.25862069
Member_8386711018,OFF,81,40,61,75.31%,0.135802469
tanoseiya,OFF,47,15,15,31.91%,0.106382979
paulasantosmk,OFF,58,24,25,43.10%,0.275862069
Member_1653515280,OFF,65,16,8,12.31%,0.061538462
Josef29,OFF,55,15,13,23.64%,0.054545455
Suhas Patil,OFF,23,13,10,43.48%,0
Lunaku,OFF,51,22,23,45.30%,0
19cfcb2a,OFF,55,11,8,14.55%,0
HieloX4,OFF,60,21,12,20.00%,0.05
Keilan Jansen,OFF,50,18,9,18.00%,0.1
Member_9265633854,OFF,65,23,44,67.69%,0.030769231
