Worker,,IP address,Websites,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,AD11,AD12,AD13,AD14,AD15,AD16,AD17,AD18,AD19,AD20,AD21,AD22,AD23,AD24,AD25,AD26,AD27,AD28,AD29,AD30,AD31,AD32,AD33,AD34,AD35,AD36,AD37,AD38,AD39,AD40,AD41,AD42
Keilan Jansen,ON,,calculator-1,elements.envato.com,adobe.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,engineeringtoolbox.com,pipeflow.co.uk,pipeflow.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,files-conversion,elements.envato.com,elements.envato.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,Gmail ,workspace.google.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,imgbb.com,elements.envato.com,outsystems.com,outsystems.com,parksystems.com/products/small-sample-afm/park-fx40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,onlinerekenmachine,elements.envato.com,genshin.mihoyo.com,genshin.mihoyo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,web2.0calc,overthereality.ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,ON,,Worldometers.info,genshin.mihoyo.com,genshin.mihoyo.com,adobe.com,adobe.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,calculator-1,elements.envato.com,adobe.com,comarch.com,nielseniq.com,genshin.mihoyo.com,circle.com,uniqlo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,engineeringtoolbox.com,pipeflow.co.uk,pipeflow.co.uk,afxholdings.com,uniqlo.com,passatltd.com,zegaz.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,files-conversion,elements.envato.com,elements.envato.com,elements.envato.com,elements.envato.com,elements.envato.com,elements.envato.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,Gmail ,workspace.google.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,imgbb.com,elements.envato.com,outsystems.com,outsystems.com,parksystems.com/products/small-sample-afm/park-fx40,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,onlinerekenmachine,elements.envato.com,genshin.mihoyo.com,genshin.mihoyo.com,genshin.mihoyo.com,genshin.mihoyo.com,xm.com,genshin.mihoyo.com,genshin.mihoyo.com,genshin.mihoyo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,web2.0calc,overthereality.ai,genshin.mihoyo.com,genshin.mihoyo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keilan Jansen,OFF,,Worldometers.info,adobe.com,adobe.com,genshin.mihoyo.com,genshin.mihoyo.com,xm.com,genshin.mihoyo.com,genshin.mihoyo.com,xm.com,xm.com,loginextsolutions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elrusso,ON,,calculator-1,overthereality.ai,overthereality.ai,binance.com/en/nft,overthereality.ai,overthereality.ai,overthereality.ai,binance.com/en/nft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elrusso,ON,,engineeringtoolbox.com,pipeflow.co.uk,mokotechnology.com,pipeflow.co.uk,pipeflow.co.uk,pipeflow.co.uk,binance.com/en/nft,pipeflow.co.uk,pipeflow.co.uk,binance.com/en/nft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elrusso,ON,,files-conversion,elements.envato.com,elements.envato.com,elements.envato.com,elements.envato.com,elements.envato.com,elements.envato.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elrusso,ON,,Gmail ,facephi.com,ied.es,banesco.com,made-in-china.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elrusso,ON,,imgbb.com,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elrusso,ON,,onlinerekenmachine,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,binance.com/en/nft,quickbooks.intuit.com,binance.com/en/nft,binance.com/en/nft,economybookings.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
